FECHA DE EVENTO,CATEGORÍA PC,INSTANCIA,NOMBRE ACTIVIDAD,MODALIDAD,ÁREA,PARTICIPACIÓN CIUDADANA,DIRECCIÓN,COMUNA,DESCRIPCIÓN,INSCRIPTOS,ASISTENTES,CANTIDAD DE VOTOS,RESULTADO VOTACION,RELEVAMIENTOS DE OPINIÓN
26/04/16,Proyecto,Votación Proyecto,FIAB,,Ministerio de Ambiente y Espacio Público (MAyEP),En que plaza de la comuna 10 te gustaría que se desarrolle una de las FIAB? Plaza Belisario Roldán o Plaza Terán,Santo Tomé entre Caldén y Gana - Nogoya y Juan Esteban Martínez,10,Son las ferias itinerantes de abastecimiento barrial.,,,4117,"1. Plaza Terán -3.148 - 76,5% 2. Plaza Belisario Roldán - 969 - 23,5%",
27/04/16,Obra,Reunión Informativa,VELÓDROMO PARQUE 3 DE FEBRERO ,,Ministerio de Ambiente y Espacio Público (MAyEP),"2da reunión informativa. Av. Belisario Roldán 4950 esq. Av. Figueroa Alcorta (Club CUBA), 18 hs",Figueroa Alcorta 5050. Avenida Belisario Roldán,14,,128,25,,,
29/04/16,Obra,Votación Obras,PARQUE THAYS,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),Puesta en Valor del Parque Thays,Av. Figueroa Alcorta y Pueyrredon,2,"Tenemos pensado poner una cancha de alguno de estos deportes ¿Cuál te gustaría? Futbol, Voley, Basket, No quiero agregar nuevas canchas al parque.",,,23264,"1. Fútbol - 11.566 - 49,7% 2. No quiero que agreguen canchas - 5,480 - 23,6% 3. Básquet - 3.140 - 13,5%  4. Vóley - 3.078 - 13,2%",
02/05/16,Obra,Votación Obras,PARQUE INDOAMERICANO,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),"¿Que te gustaría que pase en Parque Indoamericano para que puedas disfrutarlo con tu familia?
 1-Mayor Infraestructura (juegos, cestos, bancos, etc.)
 2-Oferta Gastronómica
 3-Actividades Culturales y Deportivas 4-Mayor Facilidad en los accesos.","Espacio Verde. LACARRA, AV. - ESCALADA, AV. - CASTAÑARES, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV",8,Sin informacion del área aún.,,,8765,1. Más actividades colturales y deportivas - 6.418 - 73% 2. Mayor Infraestructura - 4.584 - 52% 3. Oferta Gastronómica - 2.861 - 33% 4. Mayor facilidad en los accesos - 1.320 - 15%,
02/05/16,Proyecto,Votación Proyecto,CENTRO CULTURAL RECOLETA,,Ministerio de Cultura,"Con qué cursos te gustaría contar en el CCR a partir de Agosto? Cultura Urbana, Permacultura, Arte y Tecnología o Historia del Arte",,2,Todos los años el Centro Cultural Recoleta diseño nuevos contenidos artísticos y culturales en equipo y trabajando junto a toda la comunidad. Se priorizan mecanismos de participación como laboratorios y concursos abiertos y públicos.,,,11763,"1. Arte y Tecnología - 5.111 - 43,3% 2. Historia del Arte - 3.234 - 27,5% 3. Cultura Urbana - 2.626 - 22,3% 4. Permacultura - 792 - 6,7%",
02/05/16,Obra,Visita de Obra,PBN CONGRESO,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),Se invita a los vecinos a conocer y recorrer los avances de la obra. ,Av. Congreso y Tronador (Coghlan),12,Paso bajo nivel de avenida congreso y FFCC Mitre - Ramal Mitre,121,300,,,
09/05/16,Obra,Votación Obras,SOLDADO DE LA FRONTERA,,Ministerio de Ambiente y Espacio Público (MAyEP),Elección de mobiliario en plazoleta: ¿Postas Aeóbicas o espacio de descanso?,Soldado de la Frontera entre Av. Roca y Ana Diaz,8,Puesta en valor del entorno la calle Soldado de la Frontera,,,7814,"1. Posta Aeróbicas - 4.523 - 57,9% 2. Sector de estar - 3.291 - 42,1% ",
10/05/16,Obra,Primera reunión,PARQUE LAS HERAS,,Ministerio de Ambiente y Espacio Público (MAyEP),"1ra reunión de vecinos para que nos acerquen sus ideas/propuestas/sugerencias. En Juncal 3251 (Escuela Normal Superior en Lenguas Vivas Sofía Esther Broquen de Spangenberg, 18 hs.","Av. Las Heras, Av.Juncal, Salguero y Cnel Diaz (Palermo)",14,"Recuperación y puesta en valor general de senderos mobiliario, iluminación, equipamiento de juegos y deportes urbanos, arbolado vegetación y riego. Restitución del rosedal histórico",168,260,,,
12/05/16,Proyecto,Votación Proyecto,GOBIERNO ABIERTO,,Jefatura de Gobierno,"Qué datos te gustaría que estén publicados en el sitio de datos abiertos de la Ciudad de Buenos Aires (data.buenosaires.gob.ar)?
 1.Presupuesto
 2. Compras públicas
 3. Declaraciones juradas de funcionarios",,,"En el marco del Plan de Gobierno Abierto, este gobierno se compromete a publicar información sobre sus funcionarios para que sea de fácil acceso.",,,21226,"1. Declaraciones Juradas de funcionarios - 9.199 - 43,3% 2. Compras Públicas - 6.935 - 32,7% 3. Presupuesto - 5.092 - 24% ",
13/05/16,Obra,Primera reunión,CAMINO DE SIRGA,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),,Luna 1955,4,Puesta en valor. El proyecto Camino de Sirga en este tramo de la Villa 21-24 comprende la construcción de un espacio público en la costa liberada (Sirga).,,,,,
13/05/16,Obra,Votación Obras,PARQUE PATRICIOS,,Ministerio de Ambiente y Espacio Público (MAyEP),"¿Que te gustaría que tuviera el Parque de los Patricios? 
 Sector para Huerta
 Sector para andar en Rollers
 Sector techado de baile
 Juegos de agua para chicos",Av. Caseros y Monteagudo.,4,Puesta en Valor del Parque Patricios.,,,14189,"1. Sector para andar el Rollers - 4.333 - 30,5% 2. Sector para Huerta - 3.512 - 24,8% 3. Sector techado de baile - 3.262 - 23% 4. Juegos de agua para chicos - 3.082 - 21,7%",
