titulo;director;productor;a�o;idioma;pais;formato;minutos;premier_mundial;compania_productora;premios;web_entradas;sinopsis_es;reparto;tipo
Sonriendo desde las calles;santiago reale;santiago reale;2014;español;Argentina;HD;10 min;si;en el reino;sin estreno;"";"";"";Cortometraje
Mi kiosco preferido;Gustavo Bezek;Vito Sasiain;2014;Español;Panamá;archivo digital . mov;19 min;no;Metele que son Pasteles;"";"";"";"";Cortometraje
Kilombo;Axel Moreau;San Francisco Digital School of Filmmaking;2014;Ingles;Estados Unidos;Apple Prores 422;7  min;si;San Francisco Digital School of Filmmaking;"";"";"";"";Cortometraje
500 Calorías;Rocío Blanco;María Conte;2014;Español;Argentina;Archivo digital ProRes;14 min;no;La Mar en Coche;Ninguno aún.;"";"";"";Cortometraje
Dad\s Ejection Machine;Carol Mazzoni;Robert Wallace;2014;Inglés;Estados Unidos;ProRes LT;18 min;no;Time Squared Arts;"";"";"";"";Cortometraje
Traversées;Antoine Danis;GREC;2013;No dialogues;Francia;DCP, Prores LT;8 min;no;GREC;Best short movie - Curtocirtuito Spain - 2014;"";"";"";Cortometraje
Time and Place;Martijn Veldhoen;Rene Huybrechtse;2014;Dutch;Holanda;Apple Pro Res, DCP;35 min;si;Dutch Mountain Film;"";"";"";"";Cortometraje
Distancia;Cristian Perez Scigliano;Cristian Perez Scigliano;2015;Español;Argentina;Archivos Digitales;22 min;si;La Conciencia Films - Pleyades Cinema;"";"";"";"";Cortometraje
Teares;Mónica Baptista;Lurdes Martins - Espalhafitas;2014;Portuguese;Portugal;DCP;38 min;si;Espalhafitas;"";"";"";"";Cortometraje
La continuidad de los fragmentos;Mario Alberto Guzmán Cerdio;Mario Alberto Guzmán Cerdio;2014;Español;Argentina;Archivo digital ProRes LT;2: min;si;Mario Alberto Guzmán Cerdio;"";"";"";"";Cortometraje
The Bookseller of Berne;Leila Kuehni;Leila Kuehni;2014;Swiss Gernam/Spanish;Suiza;DCP;25 min;no;Einhornfilm;Nominated for Berne Film Award, Won the People’s Choice Award, 2014;"";"";"";Cortometraje
교무실(Gyomusil);Hogil Hwang;Sung-su Han;DEC 2014;Korean;Corea del Sur;Apple ProRes 422 HQ Files;10 min;si;Graduate school of Film, Chung-Ang University;"";"";"";"";Cortometraje
Treinta Piezas de Plata;Ezequiel Paolinelli;Ezequiel Paolinelli;2014;Español;Argentina;ProRes;6: min;si;-;-;"";"";"";Cortometraje
America;Julien Bono;Julien Bono;2014;Inglés;Suiza;ProRes LT / DCP;4m min;si;Opération Concrète / HEAD;-;"";"";"";Cortometraje
Macalandia;Macaliente;Carla Herrera;2014;Hebreo;Argentina;35mm;90 min;si;Macaliente Producciones;"";"";"";"";Cortometraje
TACTICAS;Alan Martin;Marcelo Filho;2014;Español;Venezuela;Archivos Digitales ProRes LT;se min;si;Universidad del Cine;"";"";"";"";Cortometraje
dsfsdf;lkjlkj;ljklkj;578;lkjlk;Argentina;lkjlj;87 min;si;jhg;jgjhg;"";"";"";Cortometraje
Madrugando al Mediodía;Mariano Lo Giusto;Mariano Lo Giusto;2014;Español;Argentina;Archivo digital (.mov-proRes);23 min;si;Mariano Lo Giusto (no hay compañía-soy independiente);"";"";"";"";Cortometraje
Fiebre;Facundo Romero;Facundo Romero y Nicolas Naranjo;2014;Español;Argentina;DCP (24 fps);38 min;si;Sinergia Films;"";"";"";"";Cortometraje
Monte.;Felipe Bergaño;Guillermo Lopez;2014;Español;Argentina;ProRes Lt;19 min;si;Universidad del Cine ;"";"";"";"";Cortometraje
Nieuw;Eefje Blankevoort;JvdWfilm (now Witfilm);2014;Dutch, Swahili, English;Holanda;Apple ProRes 422;19 min;no;Witfilm;DOXS! honorable mention;"";"";"";Cortometraje
Gineva;Nicolas Cilins;Nicolas Cilins;2014;Romanian, French, Spanish, English;Suiza;ProRes;43 min;no;-;"";"";"";"";Cortometraje
Como un Signo;Gabriel Feller;Nicolás Sandrini;2014;Español;Argentina;DCP o archivos digitales ProRes HQ;13 min;si;Gabriel Feller;"Ganador del concurso \""INCAA Un Barrio de Película\"" por la Comuna 15 de la Ciudad de Buenos Aires";"";"";"";Cortometraje
Ensayo sobre lo ominoso;Santiago Reale;santiago reale;2014;español;Argentina;HDCAM;02 min;si;en el reino ;Sin estreno;"";"";"";Cortometraje
Dieter Saturno;Diego Briano;Diego Briano / Patricio Yorio;2014;Español;Argentina;ProRes LT;00 min;si;¡Bombón Escocés! / UNTREF MEDIA;-;"";"";"";Cortometraje
Barrancas;Nicolás Schujman;Nicolás Schujman;2014;Español;Argentina;DCP;12 min;si;Truman;"";"";"";"";Cortometraje
Fabrica de Sueños S.A.;Roberto Porta;Victoria Dieffenbacher;2014;Español;Argentina;DCP;13 min;si;Puma Suelto;"";"";"";"";Cortometraje
Xing;Bradley Liew;Bradley Liew;2014;Malay & Mandarin;Malasia;DCP (24fps);19 min;no;Seeing Eye Films;"";"";"";"";Cortometraje
Las Luces;Manuel Abramovich, Juan Renau;Manuel Abramovich;2014;Español;Argentina;DCP, ProRes LT;7 min;no;Salomón;"";"";"";"";Cortometraje
El Obrero Ciego;Jessica Sarah Rinland;Jessica Sarah Rinland;2015;Español;Argentina;DCP;27 min;si;Jessica Sarah Rinland;"";"";"";"";Cortometraje
O muro é o meio ;Eudaldo Monção Jr;Fernanda Almeida;2014;português;Brasil;16:9 H264 24 fts;15 min;no;Visagem Audiovisual;3º lugar curta-se 14;"";"";"";Cortometraje
the final sight;Sami Kaka;Sami kaka;2014;kurdish;Iraq;35mm;06 min;no;department Erbil cinema;"";"";"";"";Cortometraje
Henrietta;Javier de Azkue;Javier de Azkue;2014;Español, inglés;Argentina;Archivo digital;13 min;si;Azkuezcurra;-;"";"";"";Cortometraje
Mutantes;Celina Wolffelt;Celina Wolffelt;2014;Inglés-Portugués;Argentina;Archivos digitales ProRes LT;00 min;si;Celina Wolffelt;-;"";"";"";Cortometraje
Vertiges;Arnaud Dufeys;Robin Andelfinger;2014;French;Bélgica;DCP (24fps);29 min;si;Replica;Audience award at International Francophone Film Festival of Namur;"";"";"";Cortometraje
Cortezas;Pablo Gabriel Gorbach;Leonardo Pereira Gallardo - Pablo Gabriel Gorbach;2014;Español;Argentina;HDCAM;18 min;si;Galope Cine;-;"";"";"";Cortometraje
La planta;Andres Portaluppi - Matias Traub Flores;Leo Azamor - Andres Portaluppi - Matias Traub Flores;2014;Español;Argentina;Archivos digitales ProRes LT;14 min;si;Vaquero Feliz Producciones;---;"";"";"";Cortometraje
El PIscina;Alejandro Balmaceda;Alejandro Balmaceda;2014;Español;Argentina;ProRes LT;18 min;si;Barrilete Cósmico Producciones;Ninguno;"";"";"";Cortometraje
El Cumpleaños de Darcy;Diego Frangi;Nicolás Dalmasso;2014;Español;Argentina;DCP;6  min;no;Azul Vals Cine en coproducción con 365 Films;WIP MICGénero México 2014;"";"";"";Cortometraje
Futuro Pasado;Andrés Fechtenholz;Juan Manuel Cots-Juan Ignacio Palma-Leandro Gorgal-Nicolás Dalmasso;2014;Español;Argentina;Archivos Digitales ProRes LT;00 min;si;Iniciativa Buenos Aires;Concurso UN BARRIO DE PELÍCULA;"";"";"";Cortometraje
El rastro;Inés Villanueva;Pablo Fernández y Juan Iastrebner ;2015;Español;Argentina;ProRes LT;11 min;si;Naiz Films, Universidad del Cine;"";"";"";"";Cortometraje
#RED;Magdalena Trimarchi;Nicole Santaren;2014;Español;Argentina;Digital ProRes LT;18 min;si;MagsT.Productions;"";"";"";"";Cortometraje
El lado de los oponentes;Francisco Pedemonte;Francisco Pedemonte;2014;Castellano;Argentina;DCP;21 min;si;Fransoubd;"";"";"";"";Cortometraje
Pastillas vs Zombies;Facundo Arias;Agustina Salvador;2014;Español;Argentina;Mpg;7: min;si;La escuelita;"";"";"";"";Cortometraje
Me gusta verte matar zombies;Santiago Guidi;Vicente Basili;2014;Español;Argentina;ProRes LT;10 min;si;NinjaCine;"";"";"";"";Cortometraje
Locomoción ;Juan Pablo Basovih Marinaro; Juan Pablo Basovih Marinaro / Juan Francisco Córdoba ;2014;Español;Argentina;Archivos Digitales ProRes LT;20 min;si;Tu Las Traes;"";"";"";"";Cortometraje
Manifiesto contra la teletransportación;Laura Preger;Micaela Freire;2014;Español;Argentina;archivos digitales ProRes ;19 min;no;Inventario Cine;"";"";"";"";Cortometraje
Blunderbus;Ashley Louis;Judith C. Posey, Joshua Louis, Eleanor Wilson;2014;English;Estados Unidos;ProRes;25 min;si;Pink Iguana Productions;"";"";"";"";Cortometraje
Pueblo de Sal;Julieta Sofía Tarraubella Cisneros y Martin Makoto Shibuya;Luciano Piccilli;2014;Español;Argentina;AppleProRes 422 HQ;15 min;si;-;-;"";"";"";Cortometraje
Milkshake;SangJin Ko;SangJin Ko;2014;English;Corea del Sur;ProPres LT;29 min;no;Cinema Kography;"";"";"";"";Cortometraje
BANDIDAS;Santiago Reale;Santiago Reale;2014;español;Argentina;HD;16 min;si;En el Reino;"";"";"";"";Cortometraje
Sin Culpar A Nadie;Agustín Slapak;María Buerba Bouzón;2014;Español;Argentina;Archivos digitales ProRes;12 min;si;Korova;"";"";"";"";Cortometraje
Speed Paradise;José María Avilés;Felipe Solari Yrigoyen;2014;Castellano;Argentina;DCP, PRORES LT;8  min;si;José María Avilés;"";"";"";"";Cortometraje
